target,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
16,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0
40,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0
32,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0
13,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0
1,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0
1,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896
2,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0
3,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0
8,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0
14,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0
36,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537
56,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836
84,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836
94,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985
106,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
110,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985
93,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985
67,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836
35,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537
37,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537
36,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537
34,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194
28,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239
39,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985
17,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985
17,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537
9,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836
6,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194
3,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194
2,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985
1,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194
8,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239
20,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239
53,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239
70,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
93,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
75,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
59,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194
74,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
76,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
65,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194
53,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
30,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
22,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
31,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
9,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
8,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
5,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582
2,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
