accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.8154290771453857,0.76287802082378,0.76287802082378,0.019131636286336823,0.4586308466780119,0.8154290771453857,-71.99371850259027,0.0104585,1,0,0.0053153,0.003,19,0
0.9943799718998595,0.829677850181275,0.829677850181275,0.09208400646203554,0.5446326341869813,0.9943799718998595,-1.2225968358051542,0.0896333,2,0,0.0146541,0.003,19,0
0.9944699723498618,0.8286915876780672,0.8286915876780672,0.09344262295081969,0.5453345749954636,0.9944699723498618,-1.18700364804315,0.0861667,3,0,0.0191711,0.003,19,0
0.9944699723498618,0.836367020160201,0.836367020160201,0.09344262295081969,0.5453345749954636,0.9944699723498618,-1.18700364804315,0.0701938,4,0,0.0222318,0.003,19,0
0.818235,0.7725263754009277,0.7725263754009277,0.02047799962277369,0.46015040473909163,0.818235,-68.69084576818474,0.010235,1,1,0.005047,0.003,19,0
0.993405,0.8328407657918382,0.8328407657918382,0.09222298692360632,0.5444567325427648,0.993405,-1.5286008188659994,0.0845865,2,1,0.015064099999999999,0.003,19,0
0.993405,0.8365925892384494,0.8365925892384494,0.09222298692360632,0.5444567325427648,0.993405,-1.5286008188659994,0.0664951,3,1,0.0192879,0.003,19,0
0.838075,0.75289982745142,0.75289982745142,0.02186716602736416,0.46679922158208526,0.838075,-58.80324980111054,0.0106702,1,2,0.00858311,0.003,19,0
0.99465,0.8156226706151768,0.8156226706151768,0.09932659932659933,0.5483218154552016,0.99465,-0.9758986347749972,0.0871389,2,2,0.0173625,0.003,19,0
0.99465,0.8265014883733461,0.8265014883733461,0.09932659932659933,0.5483218154552016,0.99465,-0.9758986347749972,0.0733198,3,2,0.0204724,0.003,19,0
0.896845,0.7078627696632912,0.7078627696632912,0.024861747884860806,0.48520191630034654,0.896845,-39.71562240531895,0.0133529,1,3,0.00914839,0.003,19,0
0.896845,0.7926152752795248,0.7926152752795248,0.024861747884860806,0.48520191630034654,0.896845,-39.71562240531895,0.011917,2,3,0.0184472,0.003,19,0
0.9905849529247647,0.7751963606890891,0.7751963606890891,0.031876606683804626,0.5135730404246526,0.9905849529247647,-2.723442919769667,0.0292413,1,0,0.012908500000000002,0.001,19,0
0.9940299701498507,0.8705037076224893,0.8705037076224893,0.09545454545454546,0.5462298236580991,0.9940299701498507,-1.3610147882129486,0.0603398,2,0,0.027852099999999994,0.001,19,0
0.9951549757748789,0.8666672766974072,0.8666672766974072,0.09354536950420955,0.5455581829234586,0.9951549757748789,-0.9160999411878954,0.0613718,3,0,0.034994300000000006,0.001,19,0
0.9951799758998795,0.7396825807373213,0.7396825807373213,0.06769825918762089,0.5326410005395599,0.9951799758998795,-0.9062129445873388,0.0727273,4,0,0.05848250000000001,0.001,19,0
0.9951849759248796,0.5812774951334972,0.5812774951334972,0.06048780487804878,0.5290370538552857,0.9951849759248796,-0.9042355452672275,0.142857,5,0,0.137285,0.001,19,0
0.9951149755748778,0.5565625001112292,0.5565625001112292,0.04121687929342493,0.5193840644289692,0.9951149755748778,-0.9319191357487862,0.25,6,0,0.32395300000000005,0.001,19,0
0.995359976799884,0.5505941600541114,0.5505941600541114,0.039337474120082816,0.5185059230501374,0.995359976799884,-0.8350265690633303,0.333333,7,0,0.385141,0.001,19,0
0.818235,0.773045179492365,0.773045179492365,0.02047799962277369,0.46015040473909163,0.818235,-68.69084576818474,0.0101811,1,1,0.00786455,0.001,19,0
0.993405,0.8503123334824582,0.8503123334824582,0.09222298692360632,0.5444567325427648,0.993405,-1.5286008188659994,0.0746624,2,1,0.0208101,0.001,19,0
0.993405,0.8855205310261094,0.8855205310261094,0.09222298692360632,0.5444567325427648,0.993405,-1.5286008188659994,0.0639229,3,1,0.025772399999999997,0.001,19,0
0.99431,0.8598003521081431,0.8598003521081431,0.08520900321543408,0.5411775638312322,0.99431,-1.1816131401588383,0.0625,4,1,0.0385798,0.001,19,0
0.995095,0.7175900112637761,0.7175900112637761,0.07540056550424128,0.536470771473454,0.995095,-0.8806348774128474,0.0789474,5,1,0.0708292,0.001,19,0
0.994875,0.6608038289726105,0.6608038289726105,0.06221408966148217,0.5298222842223788,0.994875,-0.9649854733416601,0.111111,6,1,0.157633,0.001,19,0
0.99484,0.6043745791037062,0.6043745791037062,0.0583941605839416,0.5279035359805575,0.99484,-0.9784048863303347,0.166667,7,1,0.273735,0.001,19,0
0.994545,0.5689841315537262,0.5689841315537262,0.052128583840139006,0.5246966064049999,0.994545,-1.091511367234879,0.2,8,1,0.356529,0.001,19,0
0.99046,0.822648587600418,0.822648587600418,0.04790419161676647,0.5215550867932173,0.99046,-2.52337812630906,0.0260732,1,2,0.0119325,0.001,19,0
