accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,threshold,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.9347959347959348,0.7127769751305192,0.7127769751305192,0.010140879281029877,0.48821424723112694,0.9347959347959348,-94.8126787491095,0.00511631,1,0,0.00187414,0.001,19,0
0.9918659918659919,0.7463593349812884,0.7463593349812884,0.03625592417061611,0.5160858422976845,0.9918659918659919,-10.95233925748814,0.0210595,2,0,0.00508111,0.001,19,0
0.9918659918659919,0.746707595990157,0.746707595990157,0.03625592417061611,0.5160858422976845,0.9918659918659919,-10.95233925748814,0.0177545,3,0,0.00673094,0.001,19,0
0.9935219935219936,0.8534921844598162,0.8534921844598162,0.04256577002660361,0.5196578860166974,0.9935219935219936,-8.51896406565136,0.0207346,4,0,0.00876259,0.001,19,0
0.9955129955129955,0.8511740814871571,0.8511740814871571,0.05157471993236102,0.524662949047742,0.9955129955129955,-5.593330003485282,0.0266435,5,0,0.00983443,0.001,19,0
0.9955869955869956,0.8615415169827173,0.8615415169827173,0.054424683951146344,0.5261065104117876,0.9955869955869956,-5.484592223173735,0.0270626,6,0,0.0124464,0.001,19,0
0.9954559954559955,0.8689966138404189,0.8689966138404189,0.0553014553014553,0.5265119878427497,0.9954559954559955,-5.677087482914446,0.0274626,7,0,0.016248099999999998,0.001,19,0
0.9978989978989979,0.8644383494506543,0.8644383494506543,0.05995525727069352,0.529451790485376,0.9978989978989979,-2.0872713031697296,0.0352135,8,0,0.0201272,0.001,19,0
0.9983339983339984,0.8230612844773644,0.8230612844773644,0.06193693693693692,0.5305515978705069,0.9983339983339984,-1.4480694864734747,0.0386598,9,0,0.0269747,0.001,19,0
0.9986109986109986,0.6804051310130073,0.6804051310130073,0.037422037422037424,0.518363517641496,0.9986109986109986,-1.0410375250370083,0.0555556,10,0,0.0491365,0.001,19,0
0.9986729986729986,0.5230905627417635,0.5230905627417635,0.032093362509117436,0.5157147033517284,0.9986729986729986,-0.9499328982894961,0.111111,11,0,0.110706,0.001,19,0
0.9986129986129986,0.49763236544944794,0.49763236544944794,0.030747728860936404,0.5150268658059537,0.9986129986129986,-1.0380986661096694,0.2,12,0,0.20919899999999997,0.001,19,0
0.93466,0.7057894539054289,0.7057894539054289,0.010179967278676604,0.48819742794612825,0.93466,-91.74623716102829,0.00510911,1,1,0.00189467,0.001,19,0
0.990974,0.7536069638314871,0.7536069638314871,0.03917394081328508,0.5173198216087388,0.990974,-11.811869247251932,0.0190769,2,1,0.00484661,0.001,19,0
0.99282,0.8474375044335334,0.8474375044335334,0.04419595314164004,0.5202962091323211,0.99282,-9.191582228591722,0.022822,3,1,0.00649609,0.001,19,0
0.995085,0.8560723721571225,0.8560723721571225,0.05607835605915114,0.5268072206284818,0.995085,-5.976549673193358,0.030016,4,1,0.00974068,0.001,19,0
0.995376,0.8530389577134149,0.8530389577134149,0.057480635955972276,0.5275814753369877,0.995376,-5.563492510446813,0.0307802,5,1,0.0143441,0.001,19,0
0.997683,0.8503453424025641,0.8503453424025641,0.07872763419483102,0.5387838377734155,0.997683,-2.2888434573324536,0.0385939,6,1,0.021291,0.001,19,0
0.998716,0.8209388583490368,0.8209388583490368,0.07225433526011561,0.535805945344236,0.998716,-0.8225615016033105,0.0465116,7,1,0.0290483,0.001,19,0
0.998727,0.7143837646675658,0.7143837646675658,0.07953723788864787,0.5394501487221653,0.998727,-0.8069476569634069,0.0625,8,1,0.0462983,0.001,19,0
0.998662,0.5625974879666052,0.5625974879666052,0.05240793201133145,0.525869229681821,0.998662,-0.89921128438102,0.1,9,1,0.0986034,0.001,19,0
0.998597,0.46946881806993085,0.46946881806993085,0.055218855218855216,0.5272584169840383,0.998597,-0.991474911798633,0.142857,10,1,0.206756,0.001,19,0
0.998658,0.5181595251602735,0.5181595251602735,0.05758426966292136,0.5284563957852598,0.998658,-0.9048890460682577,0.2,11,1,0.314121,0.001,19,0
0.934826,0.7021507691452747,0.7021507691452747,0.010385981961189226,0.48834469338920783,0.9348260000000002,-88.46714198546498,0.00507381,1,2,0.00189431,0.001,19,0
0.990728,0.7499060848280208,0.7499060848280208,0.036374974017875705,0.51585828119979,0.990728,-11.728071631160145,0.0195648,2,2,0.00506524,0.001,19,0
0.990728,0.7502001290902659,0.7502001290902659,0.036374974017875705,0.51585828119979,0.990728,-11.728071631160145,0.0172719,3,2,0.00673097,0.001,19,0
0.996681,0.8123372583332041,0.8123372583332041,0.047085845535457936,0.5227117252372296,0.996681,-3.556133492646734,0.0236394,4,2,0.00956589,0.001,19,0
0.997411,0.8287635122218089,0.8287635122218089,0.05751729159082636,0.5281105055748202,0.997411,-2.554031217976015,0.0283128,5,2,0.013447999999999998,0.001,19,0
0.998037,0.8399369573889874,0.8399369573889874,0.052148720424915494,0.5255831015140756,0.998037,-1.6946941988748234,0.0320908,6,2,0.0198056,0.001,19,0
0.998618,0.7863602751591096,0.7863602751591096,0.04820936639118457,0.5237589321803553,0.998618,-0.8971306076642924,0.0371901,7,2,0.029067900000000004,0.001,19,0
0.998624,0.5974520727393534,0.5974520727393534,0.043115438108484005,0.5212134715402795,0.998624,-0.8888941506122043,0.0714286,8,2,0.060396000000000005,0.001,19,0
0.998569,0.4728311239304976,0.4728311239304976,0.04408817635270541,0.5216860701998973,0.998569,-0.9643950069230118,0.0909091,9,2,0.11691700000000001,0.001,19,0
0.998556,0.4385976059675076,0.4385976059675076,0.03861517976031958,0.5189463185654024,0.998556,-0.9822406638692027,0.125,10,2,0.208004,0.001,19,0
0.998638,0.4634928217952094,0.4634928217952094,0.03541076487252125,0.5173646418734232,0.998638,-0.8696757508239987,0.181818,11,2,0.3212,0.001,19,0
0.934707,0.6899832184502036,0.6899832184502036,0.009796933529474213,0.48801869927033026,0.934707,-89.00060214514637,0.00517311,1,3,0.00197678,0.001,19,0
0.990759,0.7389751247284316,0.7389751247284316,0.0340754677537368,0.5147163796790633,0.990759,-11.737897851581296,0.0199796,2,3,0.00528113,0.001,19,0
0.998536,0.7398361706466662,0.7398361706466662,0.05548387096774193,0.5273756516138717,0.998536,-1.017993989256035,0.0545603,3,3,0.00683913,0.001,19,0
0.993476,0.7597458502806922,0.7597458502806922,0.04452255418863504,0.5206246897852443,0.993476,-7.992754635181948,0.0202841,4,3,0.0112522,0.001,19,0
0.993794,0.7858986367904751,0.7858986367904751,0.04699017199017199,0.5219385178090724,0.993794,-7.554419875220596,0.0212836,5,3,0.017682,0.001,19,0
0.998657,0.8086218783542087,0.8086218783542087,0.07315389924085576,0.5362409561931898,0.998657,-0.8512062346795457,0.0322581,6,3,0.024009299999999997,0.001,19,0
0.998631,0.8177508737734781,0.8177508737734781,0.07437457741717378,0.5368447854274104,0.998631,-0.8870449257455681,0.0444444,7,3,0.035651,0.001,19,0
0.998593,0.7183888354184809,0.7183888354184809,0.05507051712558765,0.5271832464898055,0.998593,-0.9394245511497548,0.0571429,8,3,0.0545778,0.001,19,0
0.998565,0.5594635493246884,0.5594635493246884,0.043970686209193866,0.5216263236605041,0.998565,-0.9780200646054713,0.1,9,3,0.10798699999999999,0.001,19,0
0.998515,0.5018749176640533,0.5018749176640533,0.043786220218931096,0.5215215716098206,0.998515,-1.046940624347822,0.142857,10,3,0.196305,0.001,19,0
0.910999910999911,0.7438652625113823,0.7438652625113823,0.006053025395903599,0.47973364439844635,0.910999910999911,-129.77922226659018,0.0032429,1,0,0.0113176,0.0001,19,0
0.9985159985159985,0.7491560551197533,0.7491560551197533,0.004026845637583893,0.5016421458461704,0.9985159985159985,-1.180633324085616,0.00546448,2,0,0.059490999999999995,0.0001,19,0
0.9986069986069986,0.6506733039803925,0.6506733039803925,0.016937191249117856,0.5081200983657539,0.9986069986069986,-1.0469152428916866,0.0196078,3,0,0.120999,0.0001,19,0
0.9985819985819986,0.628944475374496,0.628944475374496,0.016643550624133144,0.5079670191781379,0.9985819985819986,-1.0836509794834255,0.0526316,4,0,0.182443,0.0001,19,0
0.998401,0.534076149217113,0.534076149217113,0.007448789571694599,0.5033243225276434,0.998401,-1.2696852344732816,0.00411899,1,1,0.00348866,0.0001,19,0
0.997033,0.8242031483259529,0.8242031483259529,0.023049061573921635,0.5107816527266262,0.997033,-3.211479731508585,0.0173068,2,1,0.0168258,0.0001,19,0
0.998584,0.5915715302692653,0.5915715302692653,0.022099447513812154,0.5106954672752133,0.998584,-1.0099276372821557,0.0555556,3,1,0.121955,0.0001,19,0
0.99869,0.5971466124752702,0.5971466124752702,0.02092675635276532,0.5101356589322084,0.99869,-0.8594669525703558,0.142857,4,1,0.283769,0.0001,19,0
0.973864,0.5403936396931031,0.5403936396931031,0.0019094172458565641,0.49433402399914916,0.973864,-34.878006918895764,0.00138083,1,2,0.0056376,0.0001,19,0
0.993276,0.7676009761733588,0.7676009761733588,0.014654161781946074,0.5056403256822007,0.993276,-8.23032286970673,0.00639942,2,2,0.0340953,0.0001,19,0
0.998655,0.7485105626912856,0.7485105626912856,0.027476500361532902,0.5134017675029947,0.998655,-0.8463391225097492,0.0238095,3,2,0.054530499999999996,0.0001,19,0
0.998577,0.6692579782293666,0.6692579782293666,0.009742519137091163,0.5045152537783854,0.998577,-0.9534130641868945,0.0416667,4,2,0.109731,0.0001,19,0
0.90747,0.7948158986013377,0.7948158986013377,0.006591943657133042,0.4790335209670437,0.90747,-126.5443878591946,0.00314889,1,3,0.009204200000000001,0.0001,19,0
0.998527,0.7832033308247903,0.7832033308247903,0.01471571906354515,0.5069893340589816,0.998527,-1.030399690009658,0.0078125,2,3,0.025252599999999997,0.0001,19,0
0.998561,0.7641633790319099,0.7641633790319099,0.020422055820285907,0.5098510134795436,0.998561,-0.9835337093848593,0.0163043,3,3,0.057716199999999995,0.0001,19,0
0.99861,0.6539874195222206,0.6539874195222206,0.023876404494382025,0.5115904546509024,0.99861,-0.9159915608373554,0.05,4,3,0.126346,0.0001,19,0
0.910999910999911,0.7438652625113823,0.7438652625113823,0.006053025395903599,0.47973364439844635,0.910999910999911,-129.77922226659018,0.0032429,1,0,0.0113176,3e-05,19,0
0.9986949986949987,0.6017053270565474,0.6017053270565474,0.01061410159211524,0.5049805851655087,0.9986949986949987,-0.917605450088766,0.0104167,2,0,0.184081,3e-05,19,0
0.9984779984779985,0.5797286348408557,0.5797286348408557,0.015523932729624837,0.5073811716296874,0.9984779984779985,-1.236471643705059,0.00869565,3,0,0.255563,3e-05,19,0
0.998208,0.5305391279575506,0.5305391279575506,0.007751937984496125,0.5034275640826147,0.998208,-1.543637235882502,0.00212615,1,1,0.00765011,3e-05,19,0
0.998523,0.7024156441638872,0.7024156441638872,0.009389671361502348,0.5043253101995049,0.998523,-1.096513503012531,0.0124481,2,1,0.0625162,3e-05,19,0
0.998561,0.628514462980089,0.628514462980089,0.012354152367879201,0.5058170639150017,0.998561,-1.0425747669837726,0.027027,3,1,0.2069,3e-05,19,0
0.910254,0.7234159497884383,0.7234159497884383,0.006443184837481181,0.47972383992511863,0.910254,-122.19817909944977,0.00317662,1,2,0.026814400000000002,3e-05,19,0
0.998588,0.6121795999159931,0.6121795999159931,0.020804438280166433,0.5100489644434469,0.998588,-0.9383128929247329,0.0125,2,2,0.17744300000000002,3e-05,19,0
0.998531,0.5992523460439423,0.5992523460439423,0.026507620941020542,0.5128862831711629,0.998531,-1.01655923491957,0.0555556,3,2,0.308145,3e-05,19,0
0.998033,0.7946011221502183,0.7946011221502183,0.003041054232133806,0.501028291525657,0.998033,-1.711334820264085,0.00349895,1,3,0.00972628,3e-05,19,0
0.998576,0.6352944248543726,0.6352944248543726,0.00697350069735007,0.503130494913528,0.998576,-0.9628575414621541,0.0131579,2,3,0.195078,3e-05,19,0
0.998306,0.6321631033055618,0.6321631033055618,0.00935672514619883,0.5042545001707455,0.998306,-1.335028564070849,0.0146965,3,3,0.254227,3e-05,19,0
0.9985959985959986,0.7368321200932751,0.7368321200932751,0.011267605633802818,0.5052825530783372,0.9985959985959986,-1.0630789669920517,0.0080429,1,0,0.0904225,1e-05,19,0
0.9986389986389986,0.592729104685519,0.592729104685519,0.02156721782890007,0.5104431217651506,0.9986389986389986,-0.999893500054261,0.047619,2,0,0.227331,1e-05,19,0
0.9984359984359984,0.5789043149454359,0.5789043149454359,0.020050125313283207,0.5096337499978272,0.9984359984359984,-1.2981876811791802,0.0909091,3,0,0.30898200000000003,1e-05,19,0
0.907702,0.7751649778341958,0.7751649778341958,0.0061805495736066834,0.47889210874865595,0.907702,-130.01151205216695,0.00321461,1,1,0.029048200000000003,1e-05,19,0
0.998671,0.6355085739701809,0.6355085739701809,0.013363028953229397,0.5063490405554287,0.998671,-0.886436320584735,0.0294118,2,1,0.198709,1e-05,19,0
0.998435,0.605512081052603,0.605512081052603,0.018808777429467082,0.5090128264438225,0.998435,-1.2214242601317609,0.0833333,3,1,0.27432199999999995,1e-05,19,0
0.99865,0.482726357445991,0.482726357445991,0.018895348837209305,0.5091099420587409,0.99865,-0.8532028367198226,0.0555556,1,2,0.0743404,1e-05,19,0
0.998264,0.6233292376040624,0.6233292376040624,0.016987542468856174,0.508059387673744,0.998264,-1.3830815737374902,0.0454545,2,2,0.282022,1e-05,19,0
0.998418,0.6066690477440358,0.6066690477440358,0.018610421836228287,0.5089093918879758,0.998418,-1.171679176067229,0.125,3,2,0.357358,1e-05,19,0
0.99602,0.7558382785351201,0.7558382785351201,0.004004004004004004,0.501005010012006,0.99602,-4.486076555491133,0.00347544,1,3,0.015234000000000001,1e-05,19,0
0.998609,0.6213234017262924,0.6213234017262924,0.01417434443656981,0.5067391767074519,0.998609,-0.9173699720322024,0.0344828,2,3,0.18598399999999998,1e-05,19,0
0.998501,0.580737962179275,0.580737962179275,0.013166556945358789,0.5062082436337192,0.998501,-1.0662383810756806,0.111111,3,3,0.359157,1e-05,19,0
0.934449,0.7133857310415469,0.7133857310415469,0.010237207265699315,0.4881695957099881,0.934449,-94.20492856152642,0.00509985,1,0,0.00186575,0.001,19,1
0.990846,0.7642472223594277,0.7642472223594277,0.03884922301553969,0.5171251615269612,0.990846,-12.29508193699887,0.0191444,2,0,0.00480518,0.001,19,1
0.992695,0.8640829816213619,0.8640829816213619,0.0457217504898759,0.5210276084161507,0.992695,-9.609632242711026,0.0225657,3,0,0.00631929,0.001,19,1
0.992695,0.8642837462181254,0.8642837462181254,0.0457217504898759,0.5210276084161507,0.992695,-9.609632242711026,0.0190384,4,0,0.00823849,0.001,19,1
0.998585,0.8634317070586454,0.8634317070586454,0.06846609611586571,0.5338790291805955,0.998585,-1.055116991572362,0.0275449,5,0,0.009502,0.001,19,1
0.994942,0.8614009108879792,0.8614009108879792,0.05704697986577182,0.5272555894237203,0.994942,-6.346135507684103,0.023055,6,0,0.0113547,0.001,19,1
0.998636,0.8656523924083838,0.8656523924083838,0.08086253369272237,0.5400900136364795,0.998636,-0.9810456371057961,0.0306407,7,0,0.0132866,0.001,19,1
0.998603,0.8536302528407239,0.8536302528407239,0.06555183946488294,0.5324264084727749,0.998603,-1.0289741605841622,0.0362319,8,0,0.0196398,0.001,19,1
