r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
-0.02887676886918955,-0.6854884984114763,-0.8772192864266776,-1.3562276659192258,1,0,0.0872284,0.003,20,0
-0.07066583805504578,-0.5666836238478538,-0.8686567452367092,-1.4113124860626154,2,0,0.159958,0.003,20,0
-0.141783853841565,-0.5936300228902085,-0.9056939632264944,-1.505057649208796,3,0,0.31887,0.003,20,0
-0.15994477289059805,-0.6028376238478538,-0.9123635456199501,-1.528996707410964,4,0,0.44780600000000004,0.003,20,0
-0.16450452391643777,-0.6133516238478538,-0.9148686692850073,-1.5350072041760374,5,0,0.50918,0.003,20,0
-0.16580050216090703,-0.6133516238478538,-0.9150875284559462,-1.5367155152223742,6,0,0.5515260000000001,0.003,20,0
-0.16635364534720098,-0.6133516238478538,-0.9152788917698554,-1.5374446483072735,7,0,0.577962,0.003,20,0
0.01251002911245358,-0.5912483211103196,-0.7876841291266771,-1.0437605294574315,1,1,0.08572250000000001,0.003,20,0
-0.025654076007796567,-0.5554171548710667,-0.7723724698606083,-1.084099355917389,2,1,0.192521,0.003,20,0
-0.14486089646621392,-0.6077546238478537,-0.8027201516823512,-1.2100989890324314,3,1,0.331502,0.003,20,0
-0.21293333274319637,-0.6105559964646179,-0.8311046551099031,-1.2820504257301228,4,1,0.459685,0.003,20,0
-0.23835714631694627,-0.6133520035353821,-0.840064681551384,-1.308922975223171,5,1,0.5461229999999999,0.003,20,0
-0.25868654631433396,-0.6220455239886914,-0.8482043974856338,-1.3304108140168691,6,1,0.595009,0.003,20,0
-0.26549215608227983,-0.6220455239886914,-0.8497971885796052,-1.3376042307239646,7,1,0.623294,0.003,20,0
0.03283924653686332,-0.42040835487106676,-0.6384930846130744,-0.8517580118623166,1,2,0.08272189999999999,0.003,20,0
0.08189931999005395,-0.3636657964646179,-0.6215472758299377,-0.8085518432117793,2,2,0.16880499999999998,0.003,20,0
-0.05169354674318849,-0.4515293058366955,-0.6723570882152731,-0.9262042543132923,3,2,0.322432,0.003,20,0
-0.18561787674072106,-0.4881616238478538,-0.7159914870263052,-1.044148578098386,4,2,0.44376800000000005,0.003,20,0
-0.2622858818810838,-0.49218847601130866,-0.7362632682026052,-1.1116684680421978,5,2,0.508247,0.003,20,0
-0.27848033924393967,-0.5013019964646179,-0.7423492718359229,-1.1259305839905378,6,2,0.551659,0.003,20,0
-0.27955684448194495,-0.5013019964646179,-0.7427207073057859,-1.1268786393763663,7,2,0.568398,0.003,20,0
-0.07412815066402856,-0.38586535487106677,-0.6055450053785145,-0.7859060177777004,1,3,0.100631,0.003,20,0
