r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
-1.3548732136649755,-1.249371365493177,-1.3753411185220155,-2.7773451308297497,1,0,0.983174,0.003,20,0
-1.3645870563865237,-1.2852727759427407,-1.388316355364121,-2.7888016685438757,2,0,0.998445,0.003,20,0
-1.3645870563865237,-1.2852727759427407,-1.388316355364121,-2.7888016685438757,3,0,1.0,0.003,20,0
-1.3870873527673027,-1.1775684263148458,-1.1949238194413898,-1.9055673099715555,1,1,0.989129,0.003,20,0
-1.4191202243092476,-1.1775684263148458,-1.2121812296977998,-1.931138553849198,2,1,0.99831,0.003,20,0
-1.4191202243092476,-1.1775684263148458,-1.2121812296977998,-1.931138553849198,3,1,0.9983420000000001,0.003,20,0
-2.3221744523678636,-1.1488471258121944,-1.0187435235580145,-1.5749645933545422,1,2,0.9872709999999999,0.003,20,0
-2.3413636086662772,-1.1488471258121944,-1.0228551902246814,-1.5840617200044707,2,2,0.9966229999999999,0.003,20,0
-2.345211654512506,-1.1488471258121944,-1.0232233953528864,-1.5858859878291465,3,2,0.99669,0.003,20,0
-13.147535405429402,-1.244583946711322,-1.1718609411712126,-1.7104293499606535,1,3,0.9714020000000001,0.003,20,0
-14.014279795047198,-1.2924534242331287,-1.2046328386071101,-1.8152182761185673,2,3,0.9965870000000001,0.003,20,0
-14.021544117401842,-1.2924534242331287,-1.2047555411712128,-1.8160965287475155,3,3,0.999459,0.003,20,0
-14.00723738059923,-1.2924534242331287,-1.204264592453264,-1.8143668520350644,4,3,0.9994639999999999,0.003,20,0
-1.7607149895258636,-1.4647812387609034,-1.5480462333317129,-3.255996241867822,1,0,0.994662,0.001,20,0
-1.7667247148057252,-1.4647812387609034,-1.5506916017527654,-3.26308413141822,2,0,0.9988879999999999,0.001,20,0
-1.7667247148057252,-1.4647812387609034,-1.5506916017527654,-3.26308413141822,3,0,0.998898,0.001,20,0
-1.337543231996357,-1.1775684263148458,-1.1938929220054921,-1.8660171624526767,1,1,0.996616,0.001,20,0
-1.3338271437743079,-1.1775684263148458,-1.190578922005492,-1.8630506785371643,2,1,0.999627,0.001,20,0
-1.3338271437743079,-1.1775684263148458,-1.190578922005492,-1.8630506785371643,3,1,0.9999950000000001,0.001,20,0
-1.9724636932074855,-0.8472746353061231,-0.9595688947068325,-1.4091749662625133,1,2,0.9949319999999999,0.001,20,0
-1.96724409194763,-0.7611113943427237,-0.9506214844504223,-1.406700476348282,2,2,0.999383,0.001,20,0
-1.9659192701727206,-0.7467503943427237,-0.9500078690658068,-1.406072409575178,3,2,0.99939,0.001,20,0
-18.50341655131818,-0.8329146779392345,-1.2467940694954835,-2.357952472844191,1,3,0.993311,0.001,20,0
-18.549690339775406,-0.8616356779392345,-1.2512126040715412,-2.3635469487470924,2,3,0.998273,0.001,20,0
-18.549690339775406,-0.8616356779392345,-1.2512126040715412,-2.3635469487470924,3,3,0.999985,0.001,20,0
-0.9056257419610763,-1.1201280371818378,-1.2123362372143647,-2.2475012008745843,1,0,0.999273,0.0003,20,0
-0.905335843872425,-1.1201244559636927,-1.2119583424775224,-2.247159294125516,2,0,0.9999629999999999,0.0003,20,0
-0.905335843872425,-1.1201244559636927,-1.2119583424775224,-2.247159294125516,3,0,1.0,0.0003,20,0
-1.309664043809311,-1.1775684263148458,-1.1866512553388253,-1.843761726523115,1,1,0.9985790000000001,0.0003,20,0
-1.3081537159482575,-1.1775684263148458,-1.185914793800364,-1.8425560599621378,2,1,0.9997879999999999,0.0003,20,0
-2.459564824393465,-1.1919330980035063,-1.0906689837389796,-1.6400981299916393,1,2,0.998936,0.0003,20,0
-2.4487423133750346,-1.1919330980035063,-1.0830590350210307,-1.6349674326397683,2,2,0.9998290000000001,0.0003,20,0
-2.4487423133750346,-1.1919330980035063,-1.0830590350210307,-1.6349674326397683,3,2,0.999957,0.0003,20,0
-18.03209566518748,-0.8329146779392345,-1.2291192233416375,-2.3009700335863945,1,3,0.998693,0.0003,20,0
-17.980791414298313,-0.8329146779392345,-1.2280145823159965,-2.29476737750646,2,3,0.9997889999999999,0.0003,20,0
-1.7599635672208471,-1.4216985074122117,-1.5229779834148216,-3.255110011956197,1,0,0.99975,0.0001,20,0
-1.7679148956368356,-1.4216985074122117,-1.5244896149937688,-3.2644878345632176,2,0,1.0,0.0001,20,0
-1.0220857474845566,-1.120125799341014,-1.0884591388881533,-1.6141933364520604,1,1,0.999755,0.0001,20,0
-1.0257884363103744,-1.120125799341014,-1.0903001645291788,-1.6171491238794857,2,1,0.9999819999999999,0.0001,20,0
-2.456422494892019,-1.1919330980035063,-1.0945968042518,-1.6386084256499833,1,2,0.999834,0.0001,20,0
-2.4547995218039773,-1.1919330980035063,-1.0944738555338513,-1.6378390123677244,2,2,0.999985,0.0001,20,0
-18.094859128790635,-0.8329146779392345,-1.231696761803176,-2.308558102262358,1,3,0.9996940000000001,0.0001,20,0
-18.105181157870934,-0.8616356779392345,-1.232433197700612,-2.30980602997444,2,3,0.999985,0.0001,20,0
-18.105181157870934,-0.8616356779392345,-1.232433197700612,-2.30980602997444,3,3,1.0,0.0001,20,0
-1.7725819270870358,-1.4216985074122117,-1.5290247202569267,-3.2699921466418576,1,0,0.9999809999999999,3e-05,20,0
-1.770354894332978,-1.4216985074122117,-1.5282689307832427,-3.2673655769650747,2,0,1.0,3e-05,20,0
-1.0187810773470498,-1.120125799341014,-1.085881779913794,-1.6115552799197046,1,1,0.9999680000000001,3e-05,20,0
-1.0240801063588787,-1.120125799341014,-1.0873546004266148,-1.615785395942826,2,1,1.0,3e-05,20,0
-2.7596624511052297,-1.1488474562052509,-1.1392730824263428,-1.782367340533513,1,2,0.999973,3e-05,20,0
-2.7596624511052297,-1.1488474562052509,-1.1392730824263428,-1.782367340533513,2,2,1.0,3e-05,20,0
-18.150624688672174,-0.8329146779392345,-1.2335378643672785,-2.31530012817747,1,3,0.9999540000000001,3e-05,20,0
-18.162521259361462,-0.8329146779392345,-1.2335378643672785,-2.3167384171152756,2,3,1.0,3e-05,20,0
-1.770354894332978,-1.4216985074122117,-1.5282689307832427,-3.2673655769650747,1,0,1.0,1e-05,20,0
-1.0191255152408711,-1.120125799341014,-1.0866181901702043,-1.6118302382659166,1,1,0.9999959999999999,1e-05,20,0
-1.0187214364672164,-1.120125799341014,-1.0862499594009738,-1.61150766971775,2,1,1.0,1e-05,20,0
-2.2364985399079713,-0.9765197845165903,-0.9919859614279763,-1.534347662918665,1,2,1.0,1e-05,20,0
-18.189137484286967,-0.8329140660313842,-1.2320654284698425,-2.3199563042590863,1,3,1.0,1e-05,20,0
-1.5720637789497713,-1.4357038278627186,-1.4857682393762623,-3.2172202667403242,1,0,0.9689030000000001,0.003,20,1
-1.5807015410798306,-1.4499183897011179,-1.4850199235867885,-3.2280246579889176,2,0,0.993366,0.003,20,1
-1.5807015410798306,-1.4499183897011179,-1.4850199235867885,-3.2280246579889176,3,0,0.99349,0.003,20,1
-1.5146102519265585,-1.0021496706759894,-1.21163148807744,-2.2776662480051773,1,1,0.9743430000000001,0.003,20,1
-1.5440987807245299,-0.9950426706759894,-1.2311314032056448,-2.304376163267397,2,1,0.993511,0.003,20,1
-1.5440987807245299,-0.9950426706759894,-1.2311314032056448,-2.304376163267397,3,1,0.993916,0.003,20,1
-4.913744816056436,-1.1940514047258992,-1.3044573977187237,-2.2589686913770137,1,2,0.975311,0.003,20,1
-5.227304266308699,-1.1798312240210176,-1.3310191054110314,-2.3787440626581833,2,2,0.994216,0.003,20,1
-5.208287791293354,-1.1656209946598923,-1.328103207975134,-2.3714800323328666,3,2,0.994353,0.003,20,1
-13.44910387531199,-1.0234718327843784,-1.087499911448866,-1.7676263079462144,1,3,0.966957,0.003,20,1
-13.81243910460006,-1.0234718712159687,-1.1073035101974633,-1.8120748021528765,2,3,0.995762,0.003,20,1
-13.897820177229823,-1.0234718712159687,-1.111677305069258,-1.8225198672228913,3,3,0.997215,0.003,20,1
-2.104259233394874,-1.7057861664107463,-1.6998021820159688,-3.8829074926640086,1,0,0.993275,0.001,20,1
-2.08896545509284,-1.7057861664107463,-1.6945648478054425,-3.8637775418785623,2,0,0.9983059999999999,0.001,20,1
-2.08896545509284,-1.7057861664107463,-1.6945648478054425,-3.8637775418785623,3,0,0.99913,0.001,20,1
-0.9562113178638578,-0.8386780518466215,-1.0434585673554564,-1.7718835311558117,1,1,0.9957959999999999,0.001,20,1
-0.9760351272601608,-0.8386780518466215,-1.0493507468426357,-1.7898394038538787,2,1,0.9996229999999999,0.001,20,1
-0.9753659184375563,-0.8244640518466214,-1.0489862853041743,-1.7892332525240868,3,1,0.9996299999999999,0.001,20,1
-2.4345943875502503,-0.7676038712901979,-0.9800982766756473,-1.3119675316374326,1,2,0.99731,0.001,20,1
-2.4609767893343224,-0.758124690659545,-0.9841076612910319,-1.322045244066237,2,2,0.99959,0.001,20,1
-18.382984663082095,-1.222480575597649,-1.2787196443366025,-2.371210970081154,1,3,0.994201,0.001,20,1
-18.42553387601891,-1.1798358755976492,-1.283093848067653,-2.3764162138677967,2,3,0.9984559999999999,0.001,20,1
-18.439809029948723,-1.1940507755976493,-1.2841875634522684,-2.3781625600671226,3,3,0.9984629999999999,0.001,20,1
-1.8548540355872736,-1.5138862659872045,-1.652418624519551,-3.570943433458359,1,0,0.999331,0.0003,20,1
-1.8473042646670232,-1.5138862659872045,-1.6493015192563931,-3.561499936678589,2,0,0.999944,0.0003,20,1
-0.9775973301824692,-0.8386780518466215,-1.050566003252892,-1.7912544051909451,1,1,0.998741,0.0003,20,1
-0.9896382931799861,-0.8528930518466213,-1.0537246955605846,-1.8021607852122274,2,1,0.9999110000000001,0.0003,20,1
-3.4095251942284133,-1.023472585282323,-1.1000137190498152,-1.684377609692429,1,2,0.998866,0.0003,20,1
-3.44667720376206,-1.023472585282323,-1.1047521805882765,-1.6985691632627458,2,2,0.9998379999999999,0.0003,20,1
-20.627245896950637,-1.108761585282323,-1.3428821743966288,-2.645761920307762,1,3,0.9990899999999999,0.0003,20,1
-20.734001338374576,-1.080331585282323,-1.3454334820889364,-2.6588218116619786,2,3,0.9999819999999999,0.0003,20,1
-20.773473554093904,-1.080331585282323,-1.3461624564479109,-2.6636506320193174,3,3,1.0,0.0003,20,1
-1.0665085460351786,-1.0945469331285973,-1.2576439786744285,-2.584855488463488,1,0,0.999777,0.0001,20,1
-1.0665085460351786,-1.0945469331285973,-1.2576439786744285,-2.584855488463488,2,0,1.0,0.0001,20,1
-0.9826939292377592,-0.8386780518466215,-1.0538463622272511,-1.7958707673643495,1,1,0.999812,0.0001,20,1
-0.9703068536825754,-0.8244640518466214,-1.0517808750477637,-1.7846508879091074,2,1,0.9999969999999999,0.0001,20,1
-3.3943884775617894,-1.023472585282323,-1.0934530523831485,-1.678595593372193,1,2,0.999742,0.0001,20,1
-3.387307550352082,-0.9950385952741007,-1.0919949754600715,-1.6758907771567182,2,2,0.9999879999999999,0.0001,20,1
-24.841205042599693,-1.50677836622008,-1.479807001508049,-3.1612752082416122,1,3,0.9998040000000001,0.0001,20,1
-24.783516649762774,-1.5067761855894273,-1.4768910015080488,-3.154217917926473,2,3,0.999993,0.0001,20,1
-1.0895841318704242,-1.222480342082625,-1.360140889168418,-2.613719174902233,1,0,0.9999950000000001,3e-05,20,1
-1.0895841318704242,-1.222480342082625,-1.360140889168418,-2.613719174902233,2,0,1.0,3e-05,20,1
-0.9781579806975647,-0.8386780518466215,-1.0548181570990458,-1.791762227329259,1,1,0.999944,3e-05,20,1
-0.9712423829819814,-0.8244640518466214,-1.05372472120161,-1.7854982651548035,2,1,1.0,3e-05,20,1
-3.4197797570853226,-1.023472585282323,-1.0949110011010974,-1.6882947108116082,1,2,0.999933,3e-05,20,1
-3.4287049596695374,-1.023472585282323,-1.096368949819046,-1.691704014700947,2,2,0.9999969999999999,3e-05,20,1
-15.581266494918598,-0.9666135953483298,-1.191134616474964,-2.0284637115498882,1,3,0.9999709999999999,3e-05,20,1
-15.581266494918598,-0.9666135953483298,-1.191134616474964,-2.0284637115498882,2,3,1.0,3e-05,20,1
-2.0826312246843215,-1.6489262137592497,-1.687083242542285,-3.8558544823450975,1,0,1.0,1e-05,20,1
-0.881407882459672,-1.1940511472320658,-1.0832478096091376,-1.7041285938153568,1,1,0.9999969999999999,1e-05,20,1
-0.8802638548575443,-1.1940511472320658,-1.0832478096091376,-1.7030923644218927,2,1,1.0,1e-05,20,1
