r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
0.6986138561377772,-0.22898126820185438,-0.45019668162434545,-0.48606218034520066,1,0,0.9540190000000001,0.003,20,0
0.7006625597721563,-0.23619994106278028,-0.4550563154035206,-0.4827581221604199,2,0,0.986275,0.003,20,0
0.7005565123941521,-0.23619994106278028,-0.4571235355735589,-0.48292915065931535,3,0,0.9887299999999999,0.003,20,0
0.6998632379445344,-0.23619994106278028,-0.4584524544924779,-0.4840472328851288,4,0,0.9891059999999999,0.003,20,0
0.9194074613558625,-0.13111976425112115,-0.18550414275203833,-0.05972714021840591,1,1,0.951058,0.003,20,0
0.8958544496615157,-0.13112003438571068,-0.2063075840246212,-0.07718228005766116,2,1,0.985483,0.003,20,0
0.893926723786641,-0.1966763329372796,-0.21508044436736418,-0.07861091793864039,3,1,0.994302,0.003,20,0
0.8938511332535795,-0.1966763329372796,-0.2153757686916885,-0.07866693809191143,4,1,0.996567,0.003,20,0
0.8938511332535795,-0.1966763329372796,-0.2153757686916885,-0.07866693809191143,5,1,0.996591,0.003,20,0
0.9349072812268969,-0.12034482512107605,-0.1510013192264296,-0.03891839416594824,1,2,0.949325,0.003,20,0
0.8580139090306362,-0.163898060869955,-0.20767763294427868,-0.08489230068403941,2,2,0.986326,0.003,20,0
0.8564714001177799,-0.17482641651127123,-0.21138219721696958,-0.08581455390999988,3,2,0.9898600000000001,0.003,20,0
0.8567736325461844,-0.17482641651127123,-0.21079156208183444,-0.08563385165942439,4,2,0.9902350000000001,0.003,20,0
0.8567736325461844,-0.17482641651127123,-0.21079156208183444,-0.08563385165942439,5,2,0.990296,0.003,20,0
0.8341785088877383,-0.22618161795970226,-0.24340934816291773,-0.09406673941365701,1,3,0.9551069999999999,0.003,20,0
0.7971890159321962,-0.2622373211703427,-0.27299136599682233,-0.11505003278264894,2,3,0.988239,0.003,20,0
0.797175006863377,-0.2622373211703427,-0.2710974193301557,-0.11505797980698944,3,3,0.9901120000000001,0.003,20,0
0.797781157448103,-0.2622373211703427,-0.269349152663489,-0.11471412444351155,4,3,0.99045,0.003,20,0
-0.47640350222262473,-0.6555986967040967,-1.1310470726735466,-2.381077962521321,1,0,0.96183,0.001,20,0
-0.42992685732614766,-0.6555988324529756,-1.117382364158335,-2.306122494880982,2,0,0.987125,0.001,20,0
-0.4385802597284223,-0.7867176159417042,-1.124765188482659,-2.320078317750453,3,0,0.994466,0.001,20,0
-0.4385802597284223,-0.7867176159417042,-1.124765188482659,-2.320078317750453,4,0,0.9949319999999999,0.001,20,0
-1.5163939092014767,-1.0489570530537513,-1.1151670911747817,-1.8648998330139117,1,1,0.9774930000000001,0.001,20,0
-1.4887009283707435,-1.0161773231883409,-1.0966066031499377,-1.844376561542761,2,1,0.9912700000000001,0.001,20,0
-1.4887009283707435,-1.0161773231883409,-1.0966066031499377,-1.844376561542761,3,1,0.9944959999999999,0.001,20,0
-2.8149848468864516,-1.3521707338161435,-1.2697357732683507,-2.2809476513922653,1,2,0.971678,0.001,20,0
-2.825420081638559,-1.3685590343857106,-1.272155166511594,-2.2871867912984096,2,2,0.991548,0.001,20,0
-2.8236930542067262,-1.3685590343857106,-1.2697926529980805,-2.2861542159874637,3,2,0.9963719999999999,0.001,20,0
-0.8010829273307392,-0.5244790933229304,-0.7558484871168126,-1.021713152204788,1,3,0.9767030000000001,0.001,20,0
-0.7986261349427446,-0.5244790933229304,-0.7495549132318515,-1.0203194700722442,2,3,0.992133,0.001,20,0
-0.7986261349427446,-0.5244790933229304,-0.7495549132318515,-1.0203194700722442,3,3,0.997509,0.001,20,0
-0.7986261349427446,-0.5244790933229304,-0.7495549132318515,-1.0203194700722442,4,3,0.998801,0.001,20,0
-0.4758333038930831,-0.6555986967040967,-1.1324054154513952,-2.3801583719929225,1,0,0.9827450000000001,0.0003,20,0
-0.42518001768176283,-0.6555988324529756,-1.1179138613973412,-2.298467002834362,2,0,0.9960120000000001,0.0003,20,0
-0.42518001768176283,-0.6555988324529756,-1.1179138613973412,-2.298467002834362,3,0,0.998331,0.0003,20,0
-0.42518001768176283,-0.6555988324529756,-1.1179138613973412,-2.298467002834362,4,0,0.9984209999999999,0.0003,20,0
-1.4927480996653042,-1.0817370285022423,-1.0970052502579248,-1.8473759206827616,1,1,0.9882200000000001,0.0003,20,0
-1.4961643808099216,-1.0489571119909709,-1.100460451313189,-1.8499077270556943,2,1,0.996403,0.0003,20,0
-1.4961643808099216,-1.0489571119909709,-1.100460451313189,-1.8499077270556943,3,1,0.996647,0.0003,20,0
-2.8872029962022037,-1.3603657927533632,-1.282729642587829,-2.32412628110664,1,2,0.9908600000000001,0.0003,20,0
-2.8496935311608724,-1.3603657338161437,-1.2699149490484989,-2.301699684508011,2,2,0.997732,0.0003,20,0
-2.849960675367113,-1.3603657338161437,-1.270357921039892,-2.3018594078029295,3,2,0.999453,0.0003,20,0
-2.849960675367113,-1.3603657338161437,-1.270357921039892,-2.3018594078029295,4,2,0.999505,0.0003,20,0
-0.824924187883574,-0.5900390815559935,-0.7628415026249724,-1.0352377540442343,1,3,0.988758,0.0003,20,0
-0.7965319354359304,-0.5900390815559935,-0.7536473499945486,-1.0191314785883518,2,3,0.9968049999999999,0.0003,20,0
-0.8088989001010054,-0.5900390815559935,-0.7600571390467477,-1.026146974798671,3,3,0.9982340000000001,0.0003,20,0
-0.8088989001010054,-0.5900390815559935,-0.7600571390467477,-1.026146974798671,4,3,0.998526,0.0003,20,0
-0.44727974461809894,-0.6883787271390741,-1.1289882005645917,-2.334108460407872,1,0,0.985931,0.0001,20,0
-0.44727974461809894,-0.6883787271390741,-1.1289882005645917,-2.334108460407872,2,0,0.9975209999999999,0.0001,20,0
-0.44727974461809894,-0.6883787271390741,-1.1289882005645917,-2.334108460407872,3,0,0.998274,0.0001,20,0
-0.1537940329157237,-0.47530820531390144,-0.6794598547952913,-0.8550768985129915,1,1,0.99334,0.0001,20,0
-0.14938123677882675,-0.47530820531390144,-0.6750891964022495,-0.8518065747577432,2,1,0.9990000000000001,0.0001,20,0
-0.14938123677882675,-0.47530820531390144,-0.6750891964022495,-0.8518065747577432,3,1,0.9996290000000001,0.0001,20,0
-2.919176907636774,-1.3603657927533632,-1.2883089199020938,-2.343243216329077,1,2,0.995984,0.0001,20,0
-2.930586010948095,-1.3603657927533632,-1.290376109091283,-2.3500646241319645,2,2,0.9991770000000001,0.0001,20,0
-0.8092630331997925,-0.5900390815559935,-0.7647354759583058,-1.0263535391775445,1,3,0.9932139999999999,0.0001,20,0
-0.7776551949966068,-0.5900390815559935,-0.7551188618671861,-1.0084231354660302,2,3,0.998965,0.0001,20,0
-0.7776551949966068,-0.5900390815559935,-0.7551188618671861,-1.0084231354660302,3,3,0.998974,0.0001,20,0
-0.44552712128055094,-0.6883787271390741,-1.1307601059699972,-2.331281907369117,1,0,0.986558,3e-05,20,0
-0.44552712128055094,-0.6883787271390741,-1.1307601059699972,-2.331281907369117,2,0,0.998108,3e-05,20,0
-0.44552712128055094,-0.6883787271390741,-1.1307601059699972,-2.331281907369117,3,0,0.9988610000000001,3e-05,20,0
-0.1601575491852789,-0.45891796956502257,-0.6821767183088046,-0.8597929011964667,1,1,0.995075,3e-05,20,0
-0.161842570322017,-0.45891796956502257,-0.6883783129033991,-0.8610416705664119,2,1,0.999807,3e-05,20,0
-0.161842570322017,-0.45891796956502257,-0.6883783129033991,-0.8610416705664119,3,1,0.999816,3e-05,20,0
-2.8454738986197845,-1.3767560324529755,-1.2790064891170998,-2.2991768013720035,1,2,0.9967959999999999,3e-05,20,0
-2.8455467608308673,-1.3767560324529755,-1.279449462090073,-2.299220365080882,2,2,0.999533,3e-05,20,0
-2.8455467608308673,-1.3767560324529755,-1.279449462090073,-2.299220365080882,3,2,0.999551,3e-05,20,0
-0.27358521793129986,-0.45891961795970215,-0.6480952435919404,-0.7224757660339864,1,3,0.994015,3e-05,20,0
-0.27364979081890994,-0.4589192073318994,-0.6479495635919404,-0.7225123967562845,2,3,0.999798,3e-05,20,0
-0.27364979081890994,-0.4589192073318994,-0.6479495635919404,-0.7225123967562845,3,3,0.999858,3e-05,20,0
-0.44534605990139586,-0.6883787271390741,-1.1309077681321593,-2.3309898996225074,1,0,0.986643,1e-05,20,0
-0.44534605990139586,-0.6883787271390741,-1.1309077681321593,-2.3309898996225074,2,0,0.998123,1e-05,20,0
-0.44534605990139586,-0.6883787271390741,-1.1309077681321593,-2.3309898996225074,3,0,0.998876,1e-05,20,0
-0.1601575491852789,-0.45891796956502257,-0.6821767183088046,-0.8597929011964667,1,1,0.995136,1e-05,20,0
-0.161842570322017,-0.45891796956502257,-0.6883783129033991,-0.8610416705664119,2,1,0.9998459999999999,1e-05,20,0
-2.8430230069243168,-1.3767560324529755,-1.2781205431711538,-2.297711433649467,1,2,0.996819,1e-05,20,0
-2.8430958691354,-1.3767560324529755,-1.2785635161441269,-2.2977549973583455,2,2,0.999556,1e-05,20,0
-2.8430958691354,-1.3767560324529755,-1.2785635161441269,-2.2977549973583455,3,2,0.9995649999999999,1e-05,20,0
-0.27877026758517665,-0.45891961795970215,-0.650790470258607,-0.7254171261156414,1,3,0.994165,1e-05,20,0
-0.2856650800402052,-0.45891961795970215,-0.6521016702586071,-0.7293283955304972,2,3,0.9999399999999999,1e-05,20,0
-0.2856650800402052,-0.45891961795970215,-0.6521016702586071,-0.7293283955304972,3,3,0.999948,1e-05,20,0
0.5866698269925932,-0.2509226153196531,-0.5329830714899888,-0.7297536032651947,1,0,0.9500559999999999,0.003,20,1
