r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
-0.31123224694935603,-0.848402730476686,-0.8824868167235284,-0.9992856657850491,1,0,0.0946126,0.003,16,0
-0.17545666394332282,-0.7776081461965071,-0.8280809886543853,-0.8958115526542899,2,0,0.14993,0.003,16,0
-0.3889515417888849,-0.8090857480371934,-0.8771706083080945,-1.058515277830323,3,0,0.251842,0.003,16,0
-0.655426509007446,-0.8344012635080391,-0.9387982387488045,-1.2615949501397652,4,0,0.34089400000000003,0.003,16,0
-0.7627469590333371,-0.8427989725859988,-0.9610244089183992,-1.3433835025537115,5,0,0.39376,0.003,16,0
-0.8539138365849008,-0.842799536447902,-0.9742812662897637,-1.4128614719550978,6,0,0.421996,0.003,16,0
-0.8736943581057965,-0.8427989725859988,-0.9774546824257162,-1.4279361405834594,7,0,0.43528199999999995,0.003,16,0
-0.8872443662923646,-0.9760130402750063,-1.0745685412502617,-1.513171969613259,1,1,0.0451355,0.003,16,0
-0.9263150476117961,-0.9590230879167704,-1.0387565623011714,-1.544498416183823,2,1,0.168255,0.003,16,0
-1.1701804852231694,-0.9658777097762912,-1.0865697669689502,-1.7400270669202142,3,1,0.29027600000000003,0.003,16,0
-1.3039546949511172,-0.9534840402750063,-1.1074908264522059,-1.8472857706858385,4,1,0.372064,0.003,16,0
-1.3680168981755805,-0.976630062956162,-1.1294831193867194,-1.8986501472140174,5,1,0.409472,0.003,16,0
-1.4257855035240823,-0.9844605736760723,-1.1440740184873763,-1.944968385539844,6,1,0.418915,0.003,16,0
-1.4507894694215824,-0.994270043599949,-1.1529324730399808,-1.9650162929550317,7,1,0.422329,0.003,16,0
-0.18633951348556432,-0.921380571184078,-0.9183324180759627,-1.1040164758968936,1,2,0.0586529,0.003,16,0
-0.25113183378271176,-0.8547827628359489,-0.8972951910349805,-1.1643126965879442,2,2,0.164553,0.003,16,0
-0.4633420692316239,-0.8394670782799358,-0.950795404819476,-1.3617971381212226,3,2,0.277356,0.003,16,0
-0.6008554832465287,-0.8528032176927572,-0.9895171588921435,-1.4897681556954705,4,2,0.335282,0.003,16,0
-0.6702952153883626,-0.8793003591858757,-1.0107255080383313,-1.5543892928109413,5,2,0.369751,0.003,16,0
-0.6836814497772659,-0.8937620226532876,-1.0134162709379912,-1.5668466232358094,6,2,0.377485,0.003,16,0
-0.6859133650621105,-0.8939822390737905,-1.0143147339893903,-1.5689236603902366,7,2,0.381895,0.003,16,0
-1.3686518034716855,-0.6908614575879839,-0.9836540699134337,-1.5450479829177202,1,3,0.0474282,0.003,16,0
-1.5129049054047785,-0.8669977807490732,-1.0476776235976886,-1.639142844747847,2,3,0.140206,0.003,16,0
-1.8102792354085806,-0.9115327486586471,-1.0972173697314735,-1.8331171587734312,3,3,0.308539,0.003,16,0
-2.0673861196793593,-0.9592962527844415,-1.143332680714941,-2.0008254189552765,4,3,0.387233,0.003,16,0
-2.2039879015691963,-0.9777938235517836,-1.1634307884718336,-2.0899294009177236,5,3,0.422537,0.003,16,0
-2.2238335056625695,-0.9879005815712321,-1.1676703810546527,-2.1028744908331385,6,3,0.43718500000000005,0.003,16,0
-2.2710134077180895,-1.013686820226841,-1.1756346909903923,-2.1336494710975633,7,3,0.450237,0.003,16,0
-0.4125003426193343,-0.8695376370205621,-0.9054789529540855,-1.076461739390465,1,0,0.15646500000000002,0.001,16,0
-0.9748536488984372,-0.9260999951815306,-1.0207727868602001,-1.505029294359422,2,0,0.41251400000000005,0.001,16,0
-1.128438255368371,-0.9430968090346236,-1.053082044040053,-1.6220756041094366,3,0,0.5060180000000001,0.001,16,0
-1.1666471740434874,-0.9434939361009415,-1.0622095301659,-1.6511944919540742,4,0,0.534126,0.001,16,0
-0.9034337743403713,-0.9747900402750063,-1.0661682447194638,-1.5261524605875159,1,1,0.10382999999999999,0.001,16,0
-1.3277556633725487,-1.0416860434021349,-1.1444049173943525,-1.8663691278324883,2,1,0.380576,0.001,16,0
-1.4459668649595763,-1.0571737537665367,-1.1634174621927138,-1.9611495812441493,3,1,0.48823500000000003,0.001,16,0
-1.4319770351459682,-1.04884368601979,-1.1619751435286387,-1.9499326881317858,4,1,0.548747,0.001,16,0
-0.27619344343856,-0.9316587152661284,-0.9368235640071391,-1.1876352190682593,1,2,0.115066,0.001,16,0
-0.6841572514815115,-0.9513955206442998,-1.0386626134047272,-1.5672894078811623,2,2,0.388237,0.001,16,0
-0.7689687243008707,-0.9592968482847226,-1.0575802137498438,-1.6462156025103472,3,2,0.507337,0.001,16,0
-0.7924350610617938,-0.9675034406711585,-1.0646623364013064,-1.6680535520336557,4,2,0.535249,0.001,16,0
-1.3880845829536375,-0.7987968202268408,-1.0055868777192993,-1.557723791450265,1,3,0.0967561,0.001,16,0
-1.9168684466980048,-0.9668488474204748,-1.114914631135949,-1.9026442398168075,2,3,0.339778,0.001,16,0
-2.1375445297196842,-1.01001150101925,-1.1687957057473914,-2.0465890511441196,3,3,0.43607700000000005,0.001,16,0
-2.256001750532567,-1.0734660622073924,-1.1904905394298546,-2.123857516610733,4,3,0.46547,0.001,16,0
-0.9456210052653016,-0.8776342639468047,-1.01343962171667,-1.482751195400555,1,0,0.612278,0.0003,16,0
-1.1513322365811756,-0.9050347647014924,-1.0565378026033978,-1.6395230298510883,2,0,0.7352890000000001,0.0003,16,0
-1.1526604305431265,-0.9061366288864202,-1.0572468222984852,-1.6405352419825758,3,0,0.7430640000000001,0.0003,16,0
-1.1532241607804266,-0.9061366288864202,-1.0573538770218893,-1.6409648588920243,4,0,0.7436659999999999,0.0003,16,0
-1.4044438717993826,-1.0324476038136223,-1.1469907189594681,-1.9278568977598767,1,1,0.5747939999999999,0.0003,16,0
-1.555594898100924,-1.0611579840603356,-1.1776025585634113,-2.0490481437176546,2,1,0.702378,0.0003,16,0
-1.55984223024282,-1.0611579840603356,-1.1782917785061526,-2.052453608350399,3,1,0.7063699999999999,0.0003,16,0
-1.5585208653246352,-1.0611579840603356,-1.1779826099955142,-2.051394152356496,4,1,0.7064590000000001,0.0003,16,0
-1.0345787743109423,-0.9922454793557002,-1.1254262529947605,-1.8933943131927213,1,2,0.619927,0.0003,16,0
-1.1114292251198337,-1.0240986408141244,-1.1521714546675068,-1.9649119208494372,2,2,0.729454,0.0003,16,0
-1.1136807879714983,-1.0240986408141244,-1.1523536024121874,-1.9670072421773528,3,2,0.731322,0.0003,16,0
-1.8519338950735,-0.9239480593922376,-1.115269899761778,-1.8602880784502192,1,3,0.566866,0.0003,16,0
-1.9593310173889877,-0.9542433312136183,-1.1148454409746935,-1.9303421518102233,2,3,0.696663,0.0003,16,0
-2.0168171527980214,-0.9631241113055271,-1.138166438211816,-1.9678397854553553,3,3,0.704587,0.0003,16,0
-2.0168171527980214,-0.9631241113055271,-1.138166438211816,-1.9678397854553553,4,3,0.70485,0.0003,16,0
-1.2936860936061274,-0.9382263091113026,-1.0800965730706844,-1.7480104233888887,1,0,0.8970469999999999,0.0001,16,0
-1.322562963730642,-0.9416564074642189,-1.085519873521481,-1.770017388558712,2,0,0.923723,0.0001,16,0
-1.32503226758609,-0.9416564074642189,-1.0858581256881465,-1.7718992366851272,3,0,0.924573,0.0001,16,0
-1.9887893334028535,-1.1192201019672794,-1.269571671286907,-2.3963787218870833,1,1,0.8972040000000001,0.0001,16,0
-1.9973371321298208,-1.1192201019672794,-1.2736673995780372,-2.4032322537701605,2,1,0.923615,0.0001,16,0
-1.996831332850944,-1.1192201019672794,-1.2735424497908032,-2.40282670941951,3,1,0.924501,0.0001,16,0
-1.996831332850944,-1.1192201019672794,-1.2735424497908032,-2.40282670941951,4,1,0.924509,0.0001,16,0
-0.9461317869490744,-0.9673806258714817,-1.1002750313686622,-1.8110848813808689,1,2,0.895775,0.0001,16,0
-0.9539174143426161,-0.9679020107030138,-1.103552710676187,-1.81833024480336,2,2,0.9219149999999999,0.0001,16,0
-0.9539174143426161,-0.9679020107030138,-1.103552710676187,-1.81833024480336,3,2,0.9222819999999999,0.0001,16,0
-2.312015493663687,-1.0040075023056925,-1.182034751808397,-2.160394723435967,1,3,0.895176,0.0001,16,0
-2.3415905919189375,-1.032674961576994,-1.1993310377831055,-2.1796862655009064,2,3,0.9213899999999999,0.0001,16,0
-2.3448906331713286,-1.032674961576994,-1.2018870815801954,-2.181838849546007,3,3,0.9216209999999999,0.0001,16,0
-2.3448906331713286,-1.032674961576994,-1.2018870815801954,-2.181838849546007,4,3,0.921631,0.0001,16,0
-1.408100392540924,-0.9523141419528658,-1.1033017742951763,-1.8352051740918154,1,0,0.9616469999999999,3e-05,16,0
-1.4134436534178882,-0.9581935401983273,-1.1053466462267314,-1.839277255155504,2,0,0.97429,3e-05,16,0
-1.4134436534178882,-0.9581935401983273,-1.1053466462267314,-1.839277255155504,3,0,0.9743290000000001,3e-05,16,0
-2.0452075691546385,-1.1501500021712745,-1.2842928148293287,-2.4416142485837935,1,1,0.9610799999999999,3e-05,16,0
-2.0434332665581456,-1.1501500021712745,-1.2850553532974138,-2.4401916320945998,2,1,0.973475,3e-05,16,0
-2.043611189551831,-1.1501500021712745,-1.2850989839357116,-2.4403342888123007,3,1,0.9738469999999999,3e-05,16,0
-1.0003941965929908,-0.9707500246114792,-1.1194356364143887,-1.8615818880031463,1,2,0.957299,3e-05,16,0
-0.9992158705070668,-0.9673806258714817,-1.118568276423989,-1.8604853288832222,2,2,0.971305,3e-05,16,0
-0.9992158705070668,-0.9673806258714817,-1.118568276423989,-1.8604853288832222,3,2,0.971485,3e-05,16,0
-0.9992158705070668,-0.9673806258714817,-1.118568276423989,-1.8604853288832222,4,2,0.9714860000000001,3e-05,16,0
-2.4149647530556053,-1.0137676639752136,-1.2066311864453394,-2.227547500105473,1,3,0.9470780000000001,3e-05,16,0
