r2,mae_median,mae,mse,num_features,test_fold_i,train_r2,lambda_,max_features,split_version
-0.308579568587509,-0.8071577995025927,-0.8771692968243442,-0.9962301518167352,1,0,0.12601800000000002,0.003,16,0
-0.2009093807525335,-0.8204033894972509,-0.8359364506845847,-0.9142601362763307,2,0,0.185934,0.003,16,0
-0.49695268071182563,-0.8142790292736946,-0.8928849002843594,-1.1396398294509076,3,0,0.315629,0.003,16,0
-0.7934599602983718,-0.8634700449013233,-0.9626936499140991,-1.3653727533388433,4,0,0.410567,0.003,16,0
-0.8740025467759758,-0.8827740894433314,-0.9800967960143171,-1.42669034921183,5,0,0.45846499999999996,0.003,16,0
-1.0133283212246558,-0.9222205649350219,-1.0179396345709184,-1.5327599690980818,6,0,0.48940100000000003,0.003,16,0
-0.9010556666571301,-0.8686469475521168,-0.9805976353352754,-1.29496405945111,1,1,0.05236419999999999,0.003,16,0
-0.8972987333824465,-0.8546079174596621,-0.9554369856036407,-1.2924049057925397,2,1,0.162227,0.003,16,0
-1.0913111586259996,-0.8609216481822277,-0.9785773739452411,-1.424562591747698,3,1,0.30144499999999996,0.003,16,0
-1.3548142362149558,-0.8892607580116929,-1.026547481935365,-1.6040560284824985,4,1,0.380306,0.003,16,0
-1.4206193320114027,-0.9015507234394167,-1.0368413546743307,-1.6488812461127536,5,1,0.416684,0.003,16,0
-1.4253929386486055,-0.8900020994182731,-1.0308580971391508,-1.6521329389156292,6,1,0.43094799999999994,0.003,16,0
-1.4492335913887389,-0.9015507234394167,-1.0385777706292565,-1.668372751875244,7,1,0.436485,0.003,16,0
-0.1333231392505161,-0.7975305053519969,-0.8806795971547448,-1.1765557018767063,1,2,0.0469723,0.003,16,0
-0.4404999932258715,-0.9116074445648448,-0.9870705869075967,-1.495450345877586,2,2,0.161432,0.003,16,0
-0.6462564392687173,-0.9351621050966539,-1.047970484457652,-1.7090557258486425,3,2,0.251048,0.003,16,0
-0.8144437094980128,-0.9664925976651713,-1.0988513159704878,-1.8836587891040333,4,2,0.33215700000000004,0.003,16,0
-0.8951227626787917,-0.9711935525369086,-1.1253871217259843,-1.9674154836903925,5,2,0.392106,0.003,16,0
-0.9460590528848818,-0.9839498462023653,-1.1389507662318725,-2.020294826394058,6,2,0.410524,0.003,16,0
-1.0730497553919793,-0.6986425368731651,-0.9411167228257271,-1.45220040388192,1,3,0.0573149,0.003,16,0
-1.176814621968291,-0.6601825341025898,-0.9453102761067601,-1.5248891470049137,2,3,0.165129,0.003,16,0
-1.4774673957471762,-0.7549317949614666,-1.0136446693739378,-1.7355006281689835,3,3,0.28910399999999997,0.003,16,0
-1.7596982330237223,-0.8670173290208834,-1.0793912310779084,-1.933207284661382,4,3,0.381673,0.003,16,0
-1.8433230157247844,-0.9062057457407462,-1.1005721486205058,-1.9917876168010984,5,3,0.423572,0.003,16,0
-1.900188119756311,-0.9128168495345098,-1.1105554813753977,-2.0316224190418946,6,3,0.441453,0.003,16,0
-1.90796552953866,-0.9121091975513494,-1.1052850941850072,-2.0370706035814625,7,3,0.44905200000000006,0.003,16,0
-0.4020117508440173,-0.8039155286079737,-0.8896286710342932,-1.0673606809403418,1,0,0.1853,0.001,16,0
-0.8833801966834567,-0.8539297722519331,-0.9735708675162688,-1.4338296151879126,2,0,0.410606,0.001,16,0
-1.1851643283335789,-0.9036959095413697,-1.0493051952187067,-1.6635798409339886,3,0,0.540725,0.001,16,0
-1.1855361038504872,-0.8951255974871202,-1.0465333761637532,-1.6638628760573715,4,0,0.574693,0.001,16,0
-1.1318683099410074,-0.9019931942523942,-1.0139795766149349,-1.4521893752384771,1,1,0.152004,0.001,16,0
-1.5483429388322385,-0.9227787426792182,-1.0734291469743449,-1.7358842115058115,2,1,0.403463,0.001,16,0
-1.6314760893968026,-0.9124448511516946,-1.0840216574381905,-1.7925129804672963,3,1,0.44142299999999995,0.001,16,0
-1.619989972641486,-0.9144593001374092,-1.0805250530380808,-1.7846888495690418,4,1,0.44852600000000004,0.001,16,0
-1.6199714054828536,-0.9144593001374092,-1.0805149900593571,-1.7846762019630107,5,1,0.44968100000000005,0.001,16,0
-0.09898993406559486,-0.8090612092934116,-0.8578682626079994,-1.1409127974613462,1,2,0.149057,0.001,16,0
